transaction_type,account_id,amount,asset_id,asset_name,asset_symbol,asset_decimals,timestamp,hash
deposit,0x7271a55e7355a137b24d68f3f0481b1cc14138a2,1.480987,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-09 10:47:31,0x000fc6fc4b411903725f39f041c3ae4789d10729cc1b283af1881b23f49bc073
withdraw,0x9424ad1e800c42b2e574c715ca4409d035c385a4,0.449202,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,USD Base Coin,USDbC,6,2024-05-08 11:58:43,0x001f922a511136f67d452dc2541ff5eda800198ff5e0b41a853040b181fdf590
deposit,0x1c4fe32c0bca130e0ec13c80b4fe303892bc1398,0.001000988305874775,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-08 07:04:29,0x00130c3c6d1feb3a639eade06e2514a6868f5ae0687af7e6861ef4649fd91bbd
deposit,0x13da871199ca450ed7343d8e2bf928ba712b68c3,0.00055313956055996,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-08 02:16:47,0x000bf7cdd6b73eb09d238c80cf3fa107a84e4e06b20325173dc5a69a52be1d74
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.001684746179613976,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-07 18:47:59,0x00254bf4b75f0c9e0c8948efa8f00eccf9dad032eabe2c56fac0a21d881bf0a4
deposit,0x372b38ef359146ef4203a3d6c5304f108e9d2a19,0.00273,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-07 15:40:25,0x00128e3b1a76d1463c99afa4d4dd586e9825b2f351e8b568e8ccc5712570e8f4
deposit,0xf4b085563fca421c482abf901db0e3d026656fee,1e-06,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-07 08:40:19,0x0012ee35ee8b8d846101bebed6e5932aeb0bfed380ce7b8083649179079d727f
deposit,0xa5bccf54ff64f2aca833c9e9db3078e1f4eba799,0.01,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-06 07:05:39,0x0018b25c291b3d892eee8586e3b239512e00ccfb065d84fcede2a835f90fdc0f
deposit,0x73cef97fbbcbf92375c1a82dbe8c216624f2ddfe,0.00287,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-05 22:32:57,0x001cc684fdc1966a415f90e34b34634444f8816e29ad8addff26b65e9a90bc46
deposit,0x267ef35ef79766983f093ffc1751dd3549068b3a,5.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-05 20:50:23,0x000d0a1ff70977e9baa04fe97b6d29654ac32ae6dcdd46e0b529734f9e16fafc
deposit,0x4ce2d7a11ef826ceef7019605aa9bf13c98c9605,10.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-05 15:10:25,0x001328a50ef3038d1386ba1408d27c4c03c4f02928223d465f373dc35dfc57d6
withdraw,0xa06e040eabf1b9f1fbf02d1fc9246066b7696b2a,700.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-04 05:23:07,0x00204e7580c5666ac01b9b6a6e577166321d168dfed2b4ee61ed19638fa69dbe
deposit,0x6cf7a2244b133e3878a0ff71761663fa78df7755,5.3e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-03 19:13:17,0x0005bee8d15b5bbe3a29a04109ec79bab13cd03433274b92f1f1cdf31a199d11
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.06734610147570966,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-03 07:04:41,0x001bc42bbcd3c5105204a0670162d3aa8f7f9aa45b62a448ad72977ba2db98e4
deposit,0x832254a7fe8e62253789b2549b90c8de9f9e2236,0.00862,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-03 05:28:57,0x001341d6f39bf3d4ad2305b14549bee6dd696a2dae4739915aef22ba0f32b860
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,1.1611634652086813,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-02 18:35:03,0x00162d48b057e1b3d9a026ba3fd132a4fc74d516ff30d24bd29b84c4032a3496
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.010114684801510976,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-02 17:04:43,0x00262217f71f8a6408df981005beaa6db584e76400eaa3da55d1a1bbbc39a009
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,4.131000163210543,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-02 01:42:45,0x000f90de2ec38f1668a38e78283e88c548e2486817804d06c5c732312312e745
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.08556677087705868,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-01 10:59:17,0x000bb08212a587fd9176a87a3aaaa44e6eba8d7c5c312488845fbcc2c6376ede
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.08976574274847075,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-01 07:14:19,0x0010a4266c0b23d68db1c0dc142608dd364ab4a936833c1e7c409d3d5d8b3191
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.08029429246732808,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-27 14:53:23,0x001da35fb610738127647c7a1ffc08e5d00476cee2642708af7ecd64a9ee2bbe
deposit,0x4998e08bc9fa00ab37ba40506c2d2ae74772ff81,3.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-04-27 08:28:17,0x001d5638d65f4f6a668f1063efa84622b190729c87a583e6038c70bc1d68194d
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.318,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-26 13:13:19,0x000fa20e4fe3f8846a0486767514c2a8f005bc6539b42525db8ccbce86d49bef
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.0005,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-26 12:31:07,0x001a349ff5720b2f3fbc850db8956e78989edf215bf8405878f83001f6c773c6
deposit,0x618fcfcaa936243e3462908abb20aed72b400558,0.0016,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-25 23:33:49,0x001915ebc5dce4141ff79532f59eec8a2f194bd87a33372014560a3c3106b56a
deposit,0x17bc27e9535140ef3c75552810d07eb2abae56b9,0.00025,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-25 08:25:35,0x0018ddc23b3c2bed8fa7a53351117616cc68aa4f647e85bf65436bf13289ffa8
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.003115025660199012,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-25 04:56:57,0x000a8666c041efdd5ebe8b0d3c7b32154de2c4bee9297759a0487597c4239f5d
deposit,0xacb9697863eb40748531a5f404f2ae8121cc5f87,0.00415,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-24 21:54:21,0x0019285b8c1b365b0b5a81ebdc16866a1417c1d11f889fda94ec17ec0c25605e
deposit,0xa4bd256693b035242a0e643be2d60add9fe7cdcf,0.3559808616766996,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-24 12:05:19,0x000eb43608cd6d148d2db16960c10c6af2a656c20a5065f284ef94df9df7d253
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.001972442033835177,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-24 11:13:55,0x000b41f7c0517fbf2c803f9429150ef0af71e88deb82afad2b21f3d1421aec6e
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.031489849376598676,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-23 19:20:09,0x00092d45769b2a1647780227c5b5ba634f0a6786e68b74127f343eeadbb182d1
deposit,0x37c64492aeed98c556c0afbaaffd2808f69a25be,0.01,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,USD Base Coin,USDbC,6,2024-04-23 16:57:09,0x000d5fb0f6d7006a10df5e45b0175bd4cde065d134f674e3b336f949229587ae
deposit,0x80a0280a6fdb26ff1fdec281918c5a0486c9c48e,1e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-23 09:20:49,0x000ec44f3c76636b7a29594dda63eef0667d231a527f5ceab1a1b443a95546a3
deposit,0x2c4d76769e7cc20f2e5bc039eb8de03cbf160bef,8.9e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-23 01:50:53,0x0016b7cba6644de7602fa32f84cbe59c64f99a09e9289e2df8c19cd66fb15ae5
deposit,0x867145599f76f0c7dfe25f98814fd0b32322c5c7,9.9e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-22 22:10:37,0x001ef626718c88246dbb5f337f3abb0bde394c2b473d6dcb4e45d4060ae0a517
deposit,0x0506811df1f5432c8e0da5bce84319c081352b65,0.001,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-22 19:46:55,0x000c81710a3750e887662e808cd762814ef3c8265d3fb7416152cafbd1b3949c
deposit,0x4bae986ca78142127f893ccbdafaf91809a7ea08,0.000195,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-22 04:46:09,0x001375452e880f6487195b47442e5c8539ef3e187978fdffb19a302588c05398
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.14149861224024476,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-21 10:09:33,0x002557f16956c38a4557277092a0e824c10b29363ae2d45c1f1ebea0c35744db
deposit,0x6919ca1b7bd1250a851f35e9c7e495b0922053bd,8.4e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-04-19 17:05:07,0x000947eeefbc258fd282c86ab5f109702cfc484d2d19e33916ce5186831432b3
